,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.0255028,0.056411662458134684,0.0571835205194151,0.041219981963952296,37.671
NN-Transformer,0.0255028,0.056411662458134684,0.0571835205194151,0.041219981963952296,37.671
FM-Transformer,0.0255028,0.056411662458134684,0.0571835205194151,0.041219981963952296,37.671
MF-GRU,0.025451400000000002,0.055942728962338484,0.049278574803706995,0.04094831411120165,35.044
MF-AVG,0.027909000000000003,0.07715503617565354,0.06190117457995668,0.05287088653114339,30.5078
SKNN,0.024793,0.05160787219098976,0.04344171483276437,0.04408559975432299,39.0907
STAN,0.024793,0.05160787219098976,0.04344171483276437,0.04408559975432299,39.0907
MUSE,0.022829799999999997,0.03423927294992793,0.044815194799320605,0.0285632835865299,41.4717
LARP,0.024823,0.051155199584143454,0.043439546434745714,0.04350446271083339,38.9312
PISA,0.0213338,0.021545116684108138,0.027873517514199104,0.021435484459471327,49.4778
